row_id,product_name,supplier_sku,barcode,supplier_notes,unit_price
61,ORVIS RATIO REEL IV,ORV-3GB61510,,"GOLD, FLY REEL",759
62,BARTON 32MM S/S TRACK CLEAT,BAR-51323,5035088513239,,289.99
63,SALTY CREW SURFACE HOOD SUNSHIRT CHARCOAL XL,SC-20135643-CH-XL,,,74.95
64,CURT 2000# WINCH 2 SPEED,CURT-29520,0612314056583,,189.99
65,SUFIX SIEGE 30LBS 330YD,SUF-662-130,0024777123700,CLEAR,14.99
66,SALTY CREW ARCHWAY CLASSIC TEE BLACK 2XL,SC-25035076-BK-2XL,,,39.95
67,BARTON 25MM END STOP 2/PK,BAR-25901,5035088259014,,9.99
68,CURT 3800# WINCH 2 SPEED,CURT-29538,0612314056613,,379.99
69,SALTY CREW TAILED TANK BLACK L,SC-20635013-BK-L,0804046051367,,39.95
70,SALTY CREW ARCHWAY CLASSIC TEE BLACK XL,SC-25035076-BK-XL,,,39.95
71,Gamakatsu 225912-25 Big River Bait,GAM-225912-25,0089726104964,"Hook, Size 2/0, Barbed, Needle",19.99
72,SHIMANO CURRENT SNIPER JIG 60g S CHARTREUSE SILVER,SHI-JM006ME018,0022255309028,,12.99
73,DAIWA J-FLOURO FLOUROCARBON LEADER,DAI-JFL130-50,0043178029107,130# 50YD,92.99
74,MARUTO FISH HOOK 10/0 BLACK NICKLE,MARU-348SSC10/0,0910000064219,BULK,2.19
75,WESTCOAST FISHING MINNOW JIG 80G,WC-MINNOW80-HA,0747015933694,HERRING AID,7.99
76,"SILVERHORDE KINGFISHER SPOON 2""",SH-4121-000-683,0087321766839,WHITE LIGHTNING,13.99
77,ORVIS HYDROS II EURO,ORV-3C4B2110,0195433296943,"MATTEOLIVE, FLY REEL",439
78,SALTY CREW BLUE CRABBER SS TEE GREEN 2XL,SC-20035500-GR-2XL,0804046514954,,39.99
79,MARUTO 8845 SSC+CP HOOK 5/0,MARU-8845-5/0,4548998039498,5/0 OPEN EYE,9.99
80,CURT 1700# WINCH,CURT-29427,0612314294275,"8"" HANDLE",139.99
81,SALTY CREW TAILED TANK BLACK 3XL,SC-20635013-BK-3XL,,,39.95
82,DOCK EDGE FENDER COVER 6.5X23 BLK/NVY,DOC-96-5669-F,0776113115770,SMALL,42.99
83,MAXIMA LEADER WHEEL BIG GAME 60LBS X 55YDS,MAX-BG55M-60-UG,0062242049018,,21.99
84,SALTY CREW ARCHWAY CLASSIC TEE BLACK M,SC-25035076-BK-M,,,39.95
85,GIBBS MAC FISH 40G,GIB-00305,"0662437790741
0771613003053",CHROME,7.99
86,Mustad 3551-BR-5/0-25 Classic,MUD-3551-BR-5/0-25,0023534068131,"Treble Hook, Size 5/0, Standard",23.99
87,BARTON TUPHBLOX SIZE 1,BAR-T01430,5035088092147,FIDDLE SWIVEL,62.99
88,"Gamakatsu 02708 Fluorescent Walleye and Steelhead Hook Assortment, Size 4, Forged, Octopus, Red/Pink/Orange/Chartreuse/Glow, 20 per pack--",GAM-02708,0089726078326,,19.99
89,CHIC LEATHER & VINYL CLEANING BRUSH,CHIC-152051,0628176295305,,9.99
90,SALTY CREW TRUCK STOP CLASSIC TEE SLATE M,SC-25035077-SL-M,,,42.95
91,CURT 7-WAY RV ROUND TO 4-WAY FLAT,CURT-57241,0612314972494,,18.99
92,CURT 3200# WINCH 2 SPEED,CURT-29532,0612314056606,,258.99
93,GAMAKATSU BIG RIVER BAIT 8/0 5PK,GAM-225418,0089726101925,8/0 5PK,11.99
94,MARUTO 8845 SSC+CP HOOK 4/0,MARU-8845-4/0,"4548998037074
4548998041200",4/0 OPEN EYE,8.99
95,SALTY CREW ARCHWAY CLASSIC TEE BLACK S,SC-25035076-BK-S,,,39.95
